分野,サービス分類,キーワード,サービス名称,対象者,開始日,終了日,期間備考,無料/有料,導入支援有無,企業等,詳細,発表日付,URL,情報源,情報源にCFJと記載されているものは、CFJが収集したデータであり、CFJが作成したり責任を持って提供する情報では有りません。情報の利用は、各利用者の判断でお願いします。
教育、学習支援,サービス提供,プログラミング学習,スプリンギン・フェス シーズン1,個人への提供,2020-03-02,2020-04-05,,無料,,株式会社しくみデザイン,スプリンギンは無料のビジュアルプログラミングアプリ。「スプリンギン・フェス シーズン1」は休校中でも自宅などでプログラミングに楽しく取り組めるオンラインイベントで、これまでの学びの成果を発揮できるプログラミングコンテストや無料のプログラミング講座のライブ動画配信などを行います。,3/2/2020,https://www.shikumi.co.jp/springin-fes-2020-spring/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,教材,Qubena（キュビナ）,学校利用・個人利用（両方）,2020-03-02,,次年度の学期開始まで,無料,,株式会社COMPASS,株式会社COMPASSは、学校でご利用いただけるAI型タブレット教材「Qubena（キュビナ）」と、個人で自宅学習にご利用いただける「Qubena Wiz Lite（キュビナ ウィズ ライト）」を新型コロナウイルスの影響による休校要請期間中に無償で提供いたします。,3/2/2020,https://qubena.com/blog/pr-2020302/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,教材,「Qubena Wiz Lite（キュビナ ウィズ ライト）」,学校利用・個人利用（両方）,2020-03-02,2020-04-10,利用開始してから40日間,無料,,株式会社COMPASS,株式会社COMPASSは、学校でご利用いただけるAI型タブレット教材「Qubena（キュビナ）」と、個人で自宅学習にご利用いただける「Qubena Wiz Lite（キュビナ ウィズ ライト）」を新型コロナウイルスの影響による休校要請期間中に無償で提供いたします。,3/2/2020,http://www.recruit-mp.co.jp/news/release/2020/0302_3843.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「スタディサプリ」,学校への提供,,2020-04-30,順次アカウント発行して開始,無料,,株式会社リクルートマーケティングパートナーズ,"『スタディサプリ』では、実力派講師陣による小学校から高校までの各単元を網羅した講義動画を、PC、タブレット、スマートフォンでいつでもどこでも受講可能です。
学校および先生方は『スタディサプリfor TEACHERS』を通して、児童・生徒に『スタディサプリ』上の講義動画や確認テストなど家庭学習の範囲・単元の指示、実施状況の確認ができます。また、コミュニケーション機能での連絡・確認事項の一斉・個別での送受信など、休校中の連絡手段としても活用いただけます。",3/2/2020,http://www.recruit-mp.co.jp/news/release/2020/0302_3843.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,新型肺炎休校サポート,個人への提供（中・高校生）,2020-03-02,,新型コロナウイルスによる影響が終息するまで,無料,,LINEみらい財団,国語・数学・理科・社会の学習動画を無償で提供し、中・高校生の自宅学習を支援します。利用者は、自分の学年や学習進度にあった動画を選び、スマートフォンなどで閲覧することができるようになっていて、臨時休校中の自宅学習の補助教材として活用していただくことが可能です。,3/2/2020,https://linecorp.com/ja/pr/news/ja/2020/3101,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,プログラミング学習,プログラミング学習ツール「アポロン」,個人への提供,,2020-03-31,,無料,,株式会社あんず堂,"アンズテックプログラミング教室のScratch用教材として利用している、オンライン学習ツール。
対象は小学1年から中学3年生まで。
興味に合わした様々なカリキュラムを用意しており、興味に合わせて楽しみながらプログラミングを学習できます。",3/2/2020,https://apollon.world/coronavirus_action.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「基本のキ」,民間教育機関,2020-03-01,2020-04-30,,無料,,株式会社デジタル・ナレッジ,中学1年～3年の国語・数学・英語・理科・社会の基本を、専任講師による映像授業＋専用のテキスト教材で学べる、デジタル＆アナログ連動型の学習システム『基本のキ』を民間教育現場に対し、2020年3月1日(日)～4月30日(木)まで無償で提供いたします。,3/2/2020,https://www.digital-knowledge.co.jp/archives/21552/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,教材,「家庭学習応援サイト」,個人への提供（小学生・中学生・高校生）,2020-03-02,2020-03-31,,無料,,学研,小学生から高校生対象に、自宅学習できるICT教材や、授業動画、百科事典や、読み物を中心とした電子書籍を無料公開。,3/2/2020,https://www.gakken.co.jp/homestudy-support/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,学習プログラム,「カタリバオンライン」,個人への提供,2020-03-02,,終了時期未定,無料,,NPO法人カタリバ,好きで好きでたまらない事がある大人、何かに秀でた名人などと、学校がお休みになり自宅で過ごす小中高生が、web会議システム「zoom」を使用して、双方向でやりとりするプログラムを行います。また、子ども達向けだけでなく、保護者向けの心のケアや相談プログラムも実施します。,3/1/2020,https://note.com/kataribaonline/n/n3d78c5d8fac8,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,学習コンテンツ,提携コンテンツの無償提供,学校への提供,,2020-05-31,,無料,,まなびポケット,このためまなびポケットとしては、コンテンツを提供している事業者の皆様に、この危機に対する協力を要請し、2020年2月28日時点で、前述の事業者よりコンテンツの無償提供について賛同いただく運びとなりました。,3/1/2020,https://manabipocket.ed-cl.com/795/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
