法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,Qubena（キュビナ）,,"個人, 教育機関",教育、学習支援,,,,,,株式会社COMPASSは、学校でご利用いただけるAI型タブレット教材「Qubena（キュビナ）」と、個人で自宅学習にご利用いただける「Qubena Wiz Lite（キュビナ ウィズ ライト）」を新型コロナウイルスの影響による休校要請期間中に無償で提供いたします。,,,2020/3/2,,次年度の学期開始まで,,https://qubena.com/blog/pr-2020302/,株式会社COMPASS,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,教材,,,,2020-03-02,,,,無料,教材,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,新型肺炎休校サポート,,個人（中・高校生）,教育、学習支援,,,,,,国語・数学・理科・社会の学習動画を無償で提供し、中・高校生の自宅学習を支援します。利用者は、自分の学年や学習進度にあった動画を選び、スマートフォンなどで閲覧することができるようになっていて、臨時休校中の自宅学習の補助教材として活用していただくことが可能です。,,,2020/3/2,,期間備考,,https://linecorp.com/ja/pr/news/ja/2020/3101,LINEみらい財団,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-02,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「カタリバオンライン」,,個人,教育、学習支援,,,,,,好きで好きでたまらない事がある大人、何かに秀でた名人などと、学校がお休みになり自宅で過ごす小中高生が、web会議システム「zoom」を使用して、双方向でやりとりするプログラムを行います。また、子ども達向けだけでなく、保護者向けの心のケアや相談プログラムも実施します。,,,2020/3/2,,終了時期未定,,https://note.com/kataribaonline/n/n3d78c5d8fac8,NPO法人カタリバ,,,,,,,,サービス提供,,新型コロナウイルス感染症,学習プログラム,,,,2020-03-01,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,提携コンテンツの無償提供,,教育機関,教育、学習支援,,,,,,このためまなびポケットとしては、コンテンツを提供している事業者の皆様に、この危機に対する協力を要請し、2020年2月28日時点で、前述の事業者よりコンテンツの無償提供について賛同いただく運びとなりました。,,,,2020/5/31,,,https://manabipocket.ed-cl.com/795/,まなびポケット,,,,,サービス提供,,,,,新型コロナウイルス感染症,学習コンテンツ,,,,2020-03-01,,,,無料,教材,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「schoolTakt」,,教育機関,教育、学習支援,,,,,,新型コロナウイルスの影響を受けて休校となる全国の国公私立小・中・高等学校のうち、授業支援システム「schoolTakt」を未導入の学校に対し、schoolTaktを期間限定で無償提供することを決定いたしました。また、今回の無償提供学校も含めた全てのschoolTakt導入校に対して、schoolTaktを活用したオンライン卒業式の支援をいたします。,,,2020/3/2,2020/5/31,,,https://codetakt.com/news/202002/29/,株式会社コードタクト,,,,,サービス提供,,,,,新型コロナウイルス感染症,授業支援,,,,2020-03-01,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,新しいWEB演習システム「デキタス・コミュ」,,教育機関,教育、学習支援,,,,,,"個別指導の城南コベッツで使用している、スマホやタブレットで使えるオンライン演習システム
対象は小学5年から高校3年生まで。
３レベルに分かれた1問1答形式の問題が豊富に搭載されています。
「対戦モード」を利用して、学校の仲間と競い合いながら学習することが可能です。",,,,,ご利用開始より1カ月間,,https://www.covez.jp/junior/gonavi/gonavi03.html,株式会社城南進学研究社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-01,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,オンライン学習アプリ「N予備校」,,個人,教育、学習支援,,,,,,"オンラインで自宅で学べるオールインワン学習アプリで家庭学習支援「N予備校」は、ドワンゴがN高と連携し独自に開発した、授業、教材（問題集・参考書）、Q＆Aシステムが一つになった学習アプリです。インターネットを活用することで、いつでもどこでも学習を進めることが可能です。
ライブ配信の生授業では、コメント機能を使って挙手や質問ができるなど双方向の参加型授業を受けることができ、アーカイブされた映像授業では、ノートを取る時に一時停止したり、わからなかった所は何度も見返すことができたりと、自分のペースで学べます。
また、大学受験の授業では、指導経験豊富で受験を知り尽くした実力派予備校講師陣、プログラミングでは、現役エンジニアが講師を務めます。両者は今回の無料開放によって、多くの生徒・保護者が抱える家庭学習への不安を解消する一助となればと考えています。",,,2020/3/1,,終了時期未定,,https://nnn.ed.jp/news/blog/archives/10023.html,株式会社ドワンゴ,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-02-29,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,ICT教材「eboard（イーボード）」,,個人利用・学校利用（両方）,教育、学習支援,,,,,,"ICT教材eboardは、インターネット環境があれば、パソコンやタブレット、スマートフォンなど環境を問わず、小中学校の内容を学習できます。2,500本の映像授業での丁寧な理解から、7,000問以上のデジタルドリルでの確認・定着まで、幅広くご利用頂けます。",,,,,,,https://info.eboard.jp/2020/02/27/coronavirus_action/,NPO法人eboard,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-02-29,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,Chromebook LTE／G Suite,,教育機関,教育、学習支援,,,,,,学校活動が休止中の学校を（全国の国立・公立・私立の小・中・高等学校（中高一貫教育校、採用校を含む）を対象にデジタル学習教材を利用できる環境にない子どもたちにLTE端末を無償で貸出いたします。,,,,,春休みが終わるまでの期間,,https://edu.google.com/intl/ja/?modal_active=none,Google,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,端末、回線,,,,2020-02-28,,,,無料,,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,スマートに学べる問題集「リブリー」,,教育機関,教育、学習支援,,,,,,スマートに学べる問題集「リブリー」は、既存の教科書や問題集をデジタル化し、生徒一人ひとりの学習履歴に基づいた個別最適化学習ができる「デジタル教材」です。現在、約500の中学校・高等学校に提供しています。,,,,,春休み期間終了（2020年4月上旬）まで,,https://prtimes.jp/main/html/rd/p/000000001.000054682.html,株式会社Libry,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン学習,,,,2020-02-28,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
